Communication Rounds,Global Accuracies,Global Losses
1,76.55601659751038,0.6788511499762535
2,93.15352697095436,0.39821501076221466
3,95.64315352697095,0.25026685744524
4,97.9253112033195,0.16630744002759457
5,98.96265560165975,0.11381336208432913
6,99.37759336099585,0.08061422407627106
7,99.79253112033194,0.05834584403783083
8,99.79253112033194,0.04362824838608503
9,100.0,0.03356254007667303
10,100.0,0.02701618941500783
11,100.0,0.022091338643804193
12,100.0,0.01830317103303969
13,100.0,0.015519387321546674
14,100.0,0.013686259044334292
15,100.0,0.011894933180883527
16,100.0,0.010565005708485842
17,100.0,0.009608092717826366
18,100.0,0.008722511818632483
19,100.0,0.007938846596516669
20,100.0,0.007291916524991393
21,100.0,0.006794161512516439
22,100.0,0.006246777251362801
23,100.0,0.005823108775075525
24,100.0,0.0055479652946814895
25,100.0,0.005155905964784324
26,100.0,0.004920541658066213
27,100.0,0.0045062286662869155
28,100.0,0.004328632261604071
29,100.0,0.0041161899571307
30,100.0,0.003978175867814571
31,100.0,0.003775184217374772
32,100.0,0.003550827386789024
33,100.0,0.003439635911490768
34,100.0,0.003402871487196535
35,100.0,0.003202756866812706
36,100.0,0.0031074651051312685
37,100.0,0.002984589955303818
38,100.0,0.0028644173871725798
39,100.0,0.0027544397162273526
40,100.0,0.0027553438558243215
41,100.0,0.0026560161786619574
42,100.0,0.002592478907899931
43,100.0,0.0025038585590664297
44,100.0,0.0024560056044720113
45,100.0,0.00235896251979284
46,100.0,0.0023131165944505483
47,100.0,0.0022298329859040678
48,100.0,0.0021522255847230554
49,100.0,0.0021147564984858036
50,100.0,0.0021046734182164073
51,100.0,0.002053263538982719
52,100.0,0.001969122182345018
53,100.0,0.0019410142267588526
54,100.0,0.0019237838860135525
55,100.0,0.001848514046287164
56,100.0,0.0018174471333622932
57,100.0,0.0017952498455997556
58,100.0,0.001761694613378495
59,100.0,0.0017074704519473016
60,100.0,0.001668953220359981
61,100.0,0.0016536862240172923
62,100.0,0.0016169683658517897
63,100.0,0.0015809490287210792
64,100.0,0.0015910633374005556
65,100.0,0.0015310882008634508
66,100.0,0.0015453130181413144
67,100.0,0.001465148598072119
68,100.0,0.0014479415985988453
69,100.0,0.0014131591306068003
70,100.0,0.0014140273415250704
71,100.0,0.0013993973843753338
72,100.0,0.0013757078850176185
73,100.0,0.0013607520959340036
74,100.0,0.0013312519586179405
75,100.0,0.0013309705827850848
76,100.0,0.0013028793910052627
77,100.0,0.0012672228185692802
78,100.0,0.0012623852380784228
79,100.0,0.0012506642087828368
80,100.0,0.0012403414584696293
81,100.0,0.001224303399794735
82,100.0,0.0011943421559408307
83,100.0,0.0011680152238113806
84,100.0,0.0011586169130168855
85,100.0,0.0011593444796744734
86,100.0,0.001125650858739391
87,100.0,0.0011358740157447755
88,100.0,0.0011106383171863854
89,100.0,0.001103909729863517
90,100.0,0.0010788760555442423
91,100.0,0.0010755976545624435
92,100.0,0.0010508730338187888
93,100.0,0.0010559597139945254
94,100.0,0.0010547099373070523
95,100.0,0.0010114437318407
96,100.0,0.0010155212366953492
97,100.0,0.0010003729403251782
98,100.0,0.0009834610391408205
99,100.0,0.0009650455904193223
100,100.0,0.0009827863104874268
